gene_name,baseMean,logfoldchanges,lfcSE,stat,pvalue,pvals_adj,-log10_pvals_adj,significance,combined_score
FYB1,3.9901714,2.5405778752565453,1.0418175166335957,2.429003001824688,0.0151404069798599,0.0471113769834237,1.3268742019056208,Up-regulated,3.3710272406101063
GAST,3.8036757,3.1291106747346027,1.18336513333477,2.635797343415743,0.0083939846796842,0.0288534978879455,1.5398015301218084,Up-regulated,4.818209404876826
GLS2,8.8184805,1.472810206500575,0.5881695507105986,2.487055313783716,0.0128805370400547,0.0413108915233819,1.38393543248632,Up-regulated,2.0382742301036396
GNGT2,38.62558,-1.449874703442846,0.2365143919825812,-6.087894657796931,1.1440510191461891e-09,1.5516161872685393e-08,7.8092156982620216,Down-regulated,11.322384294638868
HGD,8.193167,1.3136020234681491,0.4735107940451508,2.753056614257132,0.0059041685177265,0.0213755331383842,1.6700830444982293,Up-regulated,2.193824466612721
IL33,23.08902,1.493785861345632,0.2972893883032079,4.991048855845155,6.005230454340523e-07,5.503676290695881e-06,5.259347117886432,Up-regulated,7.856338364607652
KCP,13.861772,1.2499340124235432,0.5157048260304395,2.404348281880061,0.0162013296936611,0.0497720624765002,1.3030143623983483,Up-regulated,1.6286819702380724
KRTAP1-5,28.11724,-1.0373933846074863,0.3214847237464153,-3.1957766846112614,0.0013945500185235,0.0061426678472516,2.211642967670146,Down-regulated,2.2943437837746785
LEFTY1,9.599336,1.4804977898025165,0.5635858606576225,2.6091814796181367,0.0090759095303049,0.0308580924030368,1.5106309248198981,Up-regulated,2.236485745403191
LRGUK,13.393569,1.384435261085316,0.4811545128364922,2.8565361529766675,0.004282912258334,0.0163160930271047,1.7873838271939315,Up-regulated,2.4745171954609018
LRIT3,17.551386,1.2130838839850495,0.3250003761568232,3.701792281632692,0.0002140818535591,0.0011726003614003,2.9308499762998386,Up-regulated,3.5553668726272987
MAP7D2,14.281658,1.4167151875110842,0.5641851709377304,2.493357252146467,0.0126541454657191,0.0407141468722968,1.390254661019386,Up-regulated,1.9695948927742382
MAPT,17.58808,1.005756666700961,0.3832193221233346,2.598398904271555,0.0093659619547041,0.0316178897904371,1.500067118684348,Up-regulated,1.5087025051156846
MGP,41.985954,1.1149667222588548,0.2779403568908113,3.9755533691458127,7.021579470074438e-05,0.0004340612763318,3.362448956906198,Up-regulated,3.749018692244409
MIA,33.271015,1.226139163884842,0.231305956068536,5.257707949052984,1.4586191649155717e-07,1.47934072908917e-06,5.829931785624087,Up-regulated,7.148307685130782
MIR9-1HG,4.7282443,1.5999060368483926,0.6558576853943872,2.424163156512123,0.0153437102360709,0.0475941510607884,1.3224464153068378,Up-regulated,2.1157900032579264
MOBP,5.2431645,2.1259746713298573,0.6968875969259999,3.036321324505572,0.002394839991737,0.0097973441557221,2.008891636025234,Up-regulated,4.270852735636046
MSTN,13.517755,1.1039487412003326,0.3558493206393695,3.074190894153707,0.0021107432562733,0.0087662640808012,2.0571854505076086,Up-regulated,2.2710272885035137
MT-ATP6,99298.22,-1.101683154764459,0.0192784968238876,-56.62698522281965,0.0,0.0,,Down-regulated,
MT-CO2,87667.27,-1.0647315944566431,0.0182881484980121,-57.67295659105604,0.0,0.0,,Down-regulated,
MT-CO3,82098.32,-1.0591715630013785,0.0148669159311749,-70.57089498981658,0.0,0.0,,Down-regulated,
MT-ND1,29202.334,-1.1694983017852576,0.0090893824923827,-127.5662348632545,0.0,0.0,,Down-regulated,
MT-ND2,27608.672,-1.22499829948703,0.0161575485840062,-75.19694545060585,0.0,0.0,,Down-regulated,
MT-ND4L,33795.617,-1.163762902756607,0.0179170226652768,-64.39478948657,0.0,0.0,,Down-regulated,
MT-ND5,35367.176,-1.0060996137254976,0.0162389576891609,-61.34012002447451,0.0,0.0,,Down-regulated,
MT-ND6,12642.831,-1.098770941298668,0.0109795457727431,-99.16356867891176,0.0,0.0,,Down-regulated,
MYOZ2,11.346142,1.6612730847313024,0.5196192291168198,3.177852150579413,0.0014837038939961,0.0064842257425257,2.1881418739859755,Up-regulated,3.6351012008264143
NOTUM,4.5753074,-2.1136047296982623,0.844525638758604,-2.490871363941561,0.0127430246909284,0.0409499157795654,1.3877469871027721,Down-regulated,2.9331485955649326
NSG2,14.668294,1.2769563935143944,0.4919491649670081,2.5753807176385,0.0100129803713848,0.0334292430409704,1.475873457294704,Up-regulated,1.884626047310666
OAS1,258.6815,1.0425649111338808,0.1125364133190576,9.175384932576486,4.499639374948276e-20,1.5874534181941176e-18,17.79929900966941,Up-regulated,18.556924590261364
ODAPH,13.384332,1.7134743211378618,0.4997145662876418,3.4088946691966573,0.0006522665904241,0.0031483437781267,2.5019178516650076,Up-regulated,4.286971992424396
OR5AU1,10.700111,4.105795731916846,0.8503547143298903,4.816573205152957,1.4604460046934689e-06,1.2618099648187678e-05,4.89900604718783,Up-regulated,20.11431811917861
PCDHB10,27.106897,1.0167289932953234,0.3205494038398612,3.140635986951519,0.0016858142265658,0.0072326335107714,2.140703540748611,Up-regulated,2.1765153559290695
PKD1L1,3.0895078,2.788938267172062,1.0724862823628556,2.591117772667101,0.0095664746298562,0.0321435690328351,1.4929059033906344,Up-regulated,4.1636224032532185
PLA2G4C,71.54135,1.2220782672907602,0.2220085624889477,5.45960143925125,4.7720462449546916e-08,5.197372192430321e-07,6.284216181516401,Up-regulated,7.6798040223881205
PLEKHB1,111.61974,1.0869229752494165,0.1348564554780393,7.985698359280899,1.3972897990033118e-15,3.479702338163086e-14,13.458457905025327,Up-regulated,14.628307108399158
PPP1R27,10.36734,1.623817569015928,0.494700840395178,3.262209071095927,0.001105475793829,0.0050218983448292,2.2991320826877253,Up-regulated,3.7333710693565094
QNG1,5.44307,2.579729014736608,0.9201796643390372,2.7926383447980654,0.005228010653105,0.0192569216422537,1.7154131367667544,Up-regulated,4.4253010411775335
RAB7B,39.517223,1.014082140648661,0.2055611314740917,4.884591427612435,1.0364354245775546e-06,9.17206912485221e-06,5.037532680890556,Up-regulated,5.108471924625084
S100P,17.197498,1.768049122584096,0.5717652536442223,3.074774326314751,0.0021066188779879,0.0087519044491021,2.0578974324930743,Up-regulated,3.638463749887444
SERPINF2,3.7431676,1.933329477218751,0.7870542438396934,2.4437063801799326,0.0145372523584841,0.045610064535679,1.3409393132563332,Up-regulated,2.5924775014799377
SH2D4B,7.078591,2.065303299428678,0.7699047811755461,2.66955518355204,0.0075951791343221,0.0265457073126083,1.5760056983555881,Up-regulated,3.254929768732194
SLCO1B3,3.9239962,-3.033573809723985,1.2503389105546503,-2.4182034040536475,0.0155973552813248,0.048232726369488,1.316658188756962,Down-regulated,3.9941797977717384
SPINK4,39.896736,1.403652793068077,0.2889322217989089,4.823459233418528,1.410896145313094e-06,1.2222178885207288e-05,4.912851364185994,Up-regulated,6.895937539267983
TEKT2,5.1826777,1.4885449926083614,0.6119035565489671,2.4163039694475805,0.0156789662136417,0.0484052581952091,1.3151074589934557,Up-regulated,1.9575966228266144
TMEM119,11.749299,1.3497785782925578,0.5397243866923331,2.4823384144327925,0.0130523250361828,0.0417699862898961,1.379135667282723,Up-regulated,1.861527780257432
TMEM244,5.357859,1.541012406474403,0.6096497591647769,2.5112983044098915,0.0120288002475312,0.0389521863962953,1.4094681602456698,Up-regulated,2.172007921469229
TNFSF15,6.7838655,1.746688286631889,0.675922105081958,2.5693615781678107,0.0101886087097757,0.0339034738101158,1.4697558009334366,Up-regulated,2.5672052416997038
TPH2,3.8424416,2.479552879553975,1.0163262437573704,2.4298820331786457,0.0151037378996324,0.047061124452701,1.327337700241828,Up-regulated,3.2912040167751755
TRDC,7.9816985,1.6194160242383937,0.6012284098661699,2.6768795316852056,0.0074311348688736,0.0260278126552169,1.584562327921674,Up-regulated,2.566065625240851
TRIM54,6.3264585,1.6220841509285726,0.6411222933205417,2.514472149422792,0.011921071780632,0.0386587956632111,1.412751679665168,Up-regulated,2.291602108782589
TRIM72,11.9039755,1.1510660257988752,0.3813547488439197,2.9921379745709915,0.0027703102586376,0.0111423695477661,1.9530224418293547,Up-regulated,2.2480577804125303
TSGA10IP,6.4007554,2.163098250275849,0.7530540230258966,2.859155099689052,0.0042477104525685,0.0162055092963692,1.790337315688412,Up-regulated,3.8726755149691643
TSPAN8,8.361455,1.538988180030966,0.5067529259909636,3.017226150280247,0.0025509941838898,0.0103449243776286,1.9852726797202038,Up-regulated,3.0553111882277952
ZBBX,6.7878284,1.3065472210325633,0.5189928189445812,2.498198768278161,0.0124826180663068,0.0402214287999535,1.3955425058697108,Up-regulated,1.8233421828768903
